County ,Avalanche,Blizzard,Drought,Excessive Heat,Extreme Cold/Wind Chill,Tornado,Wildfire,Total Events
Apache,0,0,0,1,2,10,8,21
Cochise,0,1,69,3,1,3,8,85
Coconino,2,1,3,24,5,17,47,99
Gila,0,2,31,1,0,1,21,56
Graham,0,0,43,0,2,1,6,52
Greenlee,0,2,0,0,0,0,1,3
La Paz,0,0,0,0,0,0,0,0
Maricopa,0,0,0,18,1,4,0,23
Mohave,0,0,0,4,0,3,4,11
Navajo,0,0,0,0,0,12,11,23
Pima,0,1,38,9,1,3,4,56
Pinal,0,0,43,12,0,1,4,60
Santa Cruz,0,1,17,2,0,1,6,27
Yavapai,0,0,0,4,1,7,14,26
Yuma,0,0,0,2,0,1,0,3
Bernalillo,0,0,,4,,,,
Catron,0,0,,4,,,,
Chaves,0,3,,2,,,,
Cibola,0,0,,4,,,,
Colfax,0,4,,3,,,,
Curry,0,2,,2,,,,
De Baca,0,2,,2,,,,
Do¤a Ana,0,0,,0,,,,
Eddy,0,0,,0,,,,
Grant,0,1,,0,,,,
Guadalupe,0,4,,4,,,,
Harding,0,4,,2,,,,
Hidalgo,0,0,,0,,,,
Lea,0,3,,0,,,,
Lincoln,0,6,,4,,,,
Los Alamos,0,0,,2,,,,
Luna,0,0,,0,,,,
Mckinley,0,0,,4,,,,
Mora,0,1,,1,,,,
Otero,1,0,,0,,,,
Quay,0,3,,2,,,,
Rio Arriba,0,3,,2,,,,
Roosevelt,0,2,,2,,,,
Sandoval,0,0,,6,,,,
San Juan,0,0,,4,,,,
San Miguel,0,5,,0,,,,
Santa Fe,0,0,,4,,,,
Sierra,0,0,,0,,,,
Socorro,0,0,,2,,,,
Taos,0,0,,0,,,,
Torrance,0,7,,4,,,,
Union,0,6,,2,,,,
Valencia,0,0,,2,,,,
